MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
2.6458,16.0,2.989795918367347,1.0591836734693878,1648.0,1.6816326530612244,34.1,-118.35,3.722
5.5105,26.0,6.7053941908713695,1.2116182572614107,700.0,2.904564315352697,33.68,-117.97,2.321
4.0625,19.0,6.729064039408867,1.083743842364532,596.0,2.935960591133005,39.11,-121.68,1.417
3.6467,21.0,4.64200477326969,1.026252983293556,1335.0,3.1861575178997614,32.61,-117.09,1.13
5.8195,25.0,6.585513078470825,0.9617706237424547,1645.0,3.3098591549295775,33.71,-117.97,2.861
4.1793,35.0,5.497164461247637,1.1247637051039698,1068.0,2.01890359168242,32.82,-117.27,5.00001
3.4722,25.0,5.313380281690141,1.0669014084507042,1614.0,2.841549295774648,38.01,-121.82,1.27
6.0142,16.0,6.890625,1.03125,2527.0,3.5894886363636362,33.85,-118.06,4.374
2.5769,27.0,3.78772378516624,1.0460358056265984,1505.0,3.8491048593350383,37.34,-121.85,1.375
4.375,34.0,4.532051282051282,1.0192307692307692,381.0,2.4423076923076925,37.6,-122.39,3.409
1.9038,39.0,3.77734375,1.0,903.0,3.52734375,33.91,-118.26,0.931
3.8542,5.0,3.8246187363834423,1.0980392156862746,1599.0,1.7418300653594772,32.87,-117.22,1.766
